"doc_id","sentence_blurb"
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","Gen. Land Office of Tex v."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","PRESIDENT JOSEPH R. BIDEN, ET AL., Defendants,STATE OF MISSOURI; STATE OF TEXAS, Plaintiffs—Appellants, versus JOSEPH R."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","MILLER, IN HIS OFFICIAL CAPACITY AS ACTING COMMISSIONER OF THE UNITED STATES CUSTOMS AND BORDER PROTECTION; UNITED STATES CUSTOMS AND BORDER PROTECTION, Defendants—Appellees. Prior History: [**1] Appeal from the United States District Court for the Southern District of Texas."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","Prior History: [**1] Appeal from the United States District Court for the Southern District of Texas. USDC Nos. 7:21-CV-420 & 7:21-CV-272."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","Land Office v. Biden, 619 F."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","Privity is not established by the mere fact that persons may be interested in the same question or in proving the same set of facts. And it requires more than a showing of parallel interests or, even, a use of the same attorney in both suits."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","And it requires more than a showing of parallel interests or, even, a use of the same attorney in both suits. Where lawsuits involve different agencies of the same state, the crucial point is whether or not in the earlier litigation the representative of the state had authority to represent the state's interests in a final adjudication of the issue in controversy."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","The plaintiff must therefore show (i) an injury in fact that is concrete, particularized, and actual or imminent, (ii) that the defendant likely caused the injury, and (iii) that the injury would likely be redressed by judicial relief. The plaintiff must make this showing with the manner and degree of evidence required at the successive stages of the litigation."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","The plaintiff must make this showing with the manner and degree of evidence required at the successive stages of the litigation. At the pleading stage, general factual allegations of injury resulting from the defendant's conduct may suffice, for on a motion to dismiss, the appellate court presumes that general allegations embrace those specific facts that are necessary to support the claim."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","The general rule is that a federal appellate court does not consider an issue not passed upon below. But it is within the court's discretion to address such questions where the proper resolution is beyond any doubt or where injustice might otherwise result."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","Counsel: For State of Missouri, Plaintiff - Appellant: Jeff Johnson, Saint Louis, MO. For State of Texas, Plaintiff - Appellant: Ryan Baasch, Office of the Texas Attorney General, Austin, TX; Ryan Daniel Walters, Attorney, Office of the Attorney General of Texas, Austin, TX."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","For State of Texas, Plaintiff - Appellant: Ryan Baasch, Office of the Texas Attorney General, Austin, TX; Ryan Daniel Walters, Attorney, Office of the Attorney General of Texas, Austin, TX. For Joseph R."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","For Joseph R. Biden, Jr., in his official capacity as President of the United States of America, United States of America, Alejandro Mayorkas, in his official capacity as Secretary of the United States Department of Homeland Security, United States Department of Homeland Security, Troy A."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","Biden, Jr., in his official capacity as President of the United States of America, United States of America, Alejandro Mayorkas, in his official capacity as Secretary of the United States Department of Homeland Security, United States Department of Homeland Security, Troy A. Miller, in his official capacity as Acting Commissioner of the United States Customs and Border Protection, United States Customs and Border Protection, Defendants - Appellees: Michael Shih, Michael J."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","Miller, in his official capacity as Acting Commissioner of the United States Customs and Border Protection, United States Customs and Border Protection, Defendants - Appellees: Michael Shih, Michael J. Gerardi, Amanda Mundell, Anne M."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","Gerardi, Amanda Mundell, Anne M. Murphy, Trial Attorney, Michael S."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","Murphy, Trial Attorney, Michael S. Raab, Andrew Irwin Warden, U.S. Department of Justice, Washington, DC."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","Raab, Andrew Irwin Warden, U.S. Department of Justice, Washington, DC. Judges: Before JONES, SMITH, and GRAVES, Circuit Judges."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","Judges: Before JONES, SMITH, and GRAVES, Circuit Judges. JAMES E."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","JAMES E. GRAVES, JR., Circuit Judge, concurring in part and dissenting in part."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","GRAVES, JR., Circuit Judge, concurring in part and dissenting in part. Opinion by: EDITH H."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","Opinion by: EDITH H. JONES Opinion [*268] Edith H."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","JONES Opinion [*268] Edith H. Jones, Circuit Judge: In 2018, the Department [**2] of Homeland Security declared, ""Walls Work."" Indeed, DHS touted the effectiveness of its newly constructed border wall system."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","Jones, Circuit Judge: In 2018, the Department [**2] of Homeland Security declared, ""Walls Work."" Indeed, DHS touted the effectiveness of its newly constructed border wall system. But in January 2021, President Biden ordered DHS to reverse course, ending all new border wall construction."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","But in January 2021, President Biden ordered DHS to reverse course, ending all new border wall construction. Since then, encounters along the U.S.-Mexico border (the ""southwest border"") have increased fivefold, from 458,088 in fiscal year 2020 to nearly 2.38 million in fiscal year 2022.1 Texas and Missouri filed suit seeking to compel DHS to employ the $2.75 billion Congress allocated ""for the construction of [a] barrier system along the southwest border"" before those funds expire."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","Since then, encounters along the U.S.-Mexico border (the ""southwest border"") have increased fivefold, from 458,088 in fiscal year 2020 to nearly 2.38 million in fiscal year 2022.1 Texas and Missouri filed suit seeking to compel DHS to employ the $2.75 billion Congress allocated ""for the construction of [a] barrier system along the southwest border"" before those funds expire. The district court dismissed Texas for ""claim splitting,"" held that Missouri did not have standing to sue, and denied the States' motion for a preliminary injunction as moot."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","The district court dismissed Texas for ""claim splitting,"" held that Missouri did not have standing to sue, and denied the States' motion for a preliminary injunction as moot. We REVERSE and REMAND with instructions that the court expeditiously consider the States' motion for a preliminary injunction."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","We REVERSE and REMAND with instructions that the court expeditiously consider the States' motion for a preliminary injunction. BACKGROUND The Department of Homeland Security began construction of a new wall on the U.S. border with Mexico in February 2018."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","BACKGROUND The Department of Homeland Security began construction of a new wall on the U.S. border with Mexico in February 2018. By October 2020, it had completed 386 miles of wall and had another 352 miles in progress."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","By October 2020, it had completed 386 miles of wall and had another 352 miles in progress. DHS [**3] declared the new border wall system a success: ""[I]llegal drug, border crossings, and human smuggling activities"" all decreased in areas where barriers were deployed."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","DHS [**3] declared the new border wall system a success: ""[I]llegal drug, border crossings, and human smuggling activities"" all decreased in areas where barriers were deployed. For instance, in the Yuma Sector, illegal entries in areas with a new border wall fell 87% between fiscal years 2019 and 2020."
"1-100/Gen. Land Office of Tex v. Biden, 71 F.4th 264","For instance, in the Yuma Sector, illegal entries in areas with a new border wall fell 87% between fiscal years 2019 and 2020. Likewise, the El Paso Sector ""experienced a significant reduction in drug and smuggling activities in areas where the new border wall system was built."" Congress appropriated $1.375 billion in fiscal year 2020 ""for the construction of [a] barrier system along the southwest border.""2 DHS used those funds to award two contracts to construct approximately thirty-one miles of border wall in the Laredo Sector and entered into an Economy Act agreement with the U.S. Army Corps of Engineers for thirty-seven more miles in the same area."
